sent.id,text,L.conjunct,R.conjunct,governor.position,correct,comment
20-5637.train,Bay Pope 10000 UAL hissesine sahip ve hisse başına 69 dolar fiyattan 150000 tane daha alabilme seçeneğine sahip .,10000 UAL hissesine sahip,hisse başına 69 dolar fiyattan 150000 tane daha alabilme seçeneğine sahip,0,,
00047124_53,"Ah, kadınların bu kesin sözleri, yapamayacakları şeyleri o kadar kesin bir şekilde söylerler ki; inanırsanız sonra çok şaşırırsınız.",", kadınların bu kesin sözleri",yapamayacakları şeyleri o kadar kesin bir şekilde söylerler ki; inanırsanız sonra çok şaşırırsınız.,0,,
8755.train,"Herkes ona artık vaktini ibadete hasretmek zamanının geldiğini , daha doğrusu ahireti düşünmek saati çaldığını ima ediyordu .","artık vaktini ibadete hasretmek zamanının geldiğini,",daha doğrusu ahireti düşünmek saati çaldığını,R,,
00146213_1,"Her zaman olduğu gibi şimdi de uzun sürecek bir terk ediliş süreci yaşıyorduk, bana kızıyordu ve kızgınlığını yatıştıramıyordu; bir başka erkeğe gitmesi beni beklediği kadar yaralamamış, en azından yaralarımı o görememişti.",Her zaman olduğu gibi şimdi de uzun sürecek bir terk ediliş süreci yaşıyorduk,en azından yaralarımı o görememişti,0,,
bio_1803,"- Ne üzülüyorsun ağbi, dedi, söyle, bir daha anlatsın.","Ne üzülüyorsun ağbi, dedi,","söyle, bir daha anlatsın",0,,
w01100049,1856'da İkinci Afyon Savaşı patlak verdi; Çinliler yine yenildi ve 1858 Tientsin Antlaşması ve 1860 Pekin Sözleşmesi şartlarına tabi tutuldular.,İkinci Afyon Savaşı patlak verdi,Çinliler yine yenildi ve 1858 Tientsin Antlaşması ve 1860 Pekin Sözleşmesi şartlarına tabi tutuldular.,0,,
bio_888,"Avusturyalıların çıkışından daha önce haberim olduğunu, bunu sadece kendi mecmualarında değil, diğer dağcılık mecmualarında da okuduğumu, fakat bu çıkışın kış çıkışı olarak sayılamayacağını belirttim.",Avusturyalıların çıkışından daha önce haberim olduğunu,bu çıkışın kış çıkışı olarak sayılamayacağını,R,,
00006231_61,"Maryline'nin, birkaç yolcuyla birlikte tramvaydan indiğini, sonra da geçmek üzere caddenin kıyısındaki kaldırıma doğru yürüdüğünü gördüm.",birkaç yolcuyla birlikte tramvaydan indiğini,sonra da geçmek üzere caddenin kıyısında ki kaldırıma doğru yürüdüğünü,R,,
20-5226.train,Ekonomik bozulma depremin kendisi kadar ani oldu ve gerçek anlamda tüm işletmeler kapandı .,Ekonomik bozulma depremin kendisi kadar ani oldu,gerçek anlamda tüm işletmeler kapandı,0,,
news_1076,"Deniz, ""Ödeme güçlüğü içine düşen tüketicinin ödemelerini yaparak borcunu kapatması halinde bile 2 yıl kart edinme yasağı ve 10 YTL para cezasına tabi olması tüketicileri ekonominin dışına itmektir"" diye konuştu.",Ödeme güçlüğü içine düşen tüketicinin ödemelerini yaparak borcunu kapatması halinde bile 2 yıl kart edinme yasağı,10 YTL para cezasına,R,,
news_1570,"Bunlardan ulusal muhafız olan 12'si öldürüldü, 1 kişi kaçtı, şoför ise işkence yapıldıktan sonra serbest bırakıldı"" dedi.",Bunlardan ulusal muhafız olan 12'si öldürüldü,şoför ise işkence yapıldıktan sonra serbest bırakıldı,R,,
news_1,"Mars'ta ev inşa etmek isteyenlere yardım önerir misiniz? Lütfen bana önce Venüs'ü değerlendireceğinizi söylemeyin"" mesajı yolladı.",Mars'ta ev inşa etmek isteyenlere yardım önerir misiniz?,Lütfen bana önce Venüs'ü değerlendireceğinizi söylemeyin,R,,
00044121_78,"Elektrozayıf kuramın oluşturulmasıyla Nobel ödülü alan bilim insanlarından birisi olan Sheldon Glashow, projenin onanma şansının düşük olduğunu şu şakayla anlatıyor: bizi erke düzeylerine çıkaracak olan hızlandırıcının boyu birkaç ışık yılı uzunluklarda ve bir saniyede tüketeceği erke de Güneş'in bir saniyede ürettiği erkeye denk olacaktır.","Elektrozayıf kuramın oluşturulmasıyla Nobel ödülü alan bilim insanlarından birisi olan Sheldon Glashow, projenin onanma şansının düşük olduğunu şu şakayla anlatıyor",bizi erke düzeylerine çıkaracak olan hızlandırıcının boyu birkaç ışık yılı uzunluklarda ve bir saniyede tüketeceği erke de Güneş'in bir saniyede ürettiği erkeye denk olacaktır.,0,,
ess_665,"Diskolarda filan dans etmeyi reddediyor herif, insanların yüzüne hiç ama hiç gülümsemiyor.",Diskolarda filan dans etmeyi reddediyor herif,insanların yüzüne hiç ama hiç gülümsemiyor,0,,
22080000_26,İhracat bedellerinin yüzseksen gün içinde yurda getirilmesi ve yüzde yetmiş'inin TL'ye çevrilmesi kaldırılsın.,İhracat bedellerinin yüzseksen gün içinde yurda getirilmesi,yüzde yetmiş'inin TL'ye çevrilmesi,R,,
20-5997.train,"Ekipten uzun süredir haber alınmıyor , ancak yine de her duruma karşı personeli yakınlarda bulunduruyoruz .","Ekipten uzun süredir haber alınmıyor,",yine de her duruma karşı personeli yakınlarda bulunduruyoruz,0,,
bio_64,"Tam bir sinir harbi sürdürüyor, sabrıyla Lord Curzon'ı deli ediyordu.",Tam bir sinir harbi sürdürüyor,sabrıyla Lord Curzon'ı deli ediyor du.,0,,
20-3279.train,"Doğal olarak , müdürler birliği görev süresi oluşturmayı sever ve görev süresi daha önceki zorluklara dayanır .",müdürler birliği görev süresi oluşturmayı sever,görev süresi daha önceki zorluklara dayanır,0,,
20-1586.train,Ancak ikisi bu rota değişikliğinden sonuçları paylaştı ve bilet fiyatlamasının kurallarını izledi .,bu rota değişikliğinden sonuçları paylaştı,bilet fiyatlamasının kurallarını izledi,0,,
