sent.id,text,L.conjunct,R.conjunct,governor.position,correct,comment
train-s17404,"15 PPS nie uwzględniła tych żądań, podnosząc, że nie doszło do przejęcia przedsiębiorstwa i że nie zawarła żadnej umowy z Mayer.",że nie doszło do przejęcia przedsiębiorstwa,że nie zawarła żadnej umowy z Mayer,L,1,
train-s1862,Dogadał się z NATO i Bushem.,NATO,Bushem,L,1,
train-13224,"Zawsze i wszędzie jestem bezpieczny, w dzień i w nocy, w domu i poza domem, na ulicy i w samochodzie.",w dzień,w nocy,L,1,
dev-s1983,"Skuliła się w pozycji embrionalnej i znieruchomiała, mamrotała i beznadziejnie usiłowała schować się przed stworem zza drzwi.",mamrotała,beznadziejnie usiłowała schować się przed stworem zza drzwi,L,1,
train-s6301,"W wywiadzie dla National Public Radio powiedział: Bóg stworzył człowieka na własne podobieństwo, a zadaniem człowieka jest pełne zjednoczenie z nim i naśladowanie go.",Bóg stworzył człowieka na własne podobieństwo,zadaniem człowieka jest pełne zjednoczenie z nim i naśladowanie go,L,1,
test-364,"Fachowcy z Aue często goszczą w Łodzi, Bielsku i Białymstoku.",Łodzi,Białymstoku,L,1,
train-s13921,"Zdarzają się zawodnicy na dopingu – dlatego coraz częściej przeprowadza się kontrole antydopingowe i są oszustwa w samej grze, niektórzy gracze pomagają sobie, wgrywając niedozwolone dodatki – na chwilę stają się niewidzialni, widzą przez ściany lub broń jest podrasowana i dalej niesie.",są oszustwa w samej grze,"niektórzy gracze pomagają sobie, wgrywając niedozwolone dodatki – na chwilę stają się niewidzialni, widzą przez ściany lub broń jest podrasowana i dalej niesie",L,1,
train-s17495,"Pasywa wyrażone w walucie obcej i wymienione na mocy umów na walutę krajową, są przeliczane na walutę krajową według kursu uzgodnionego w ramach tych umów.",wyrażone w walucie obcej,wymienione na mocy umów na walutę krajową,L,1,
train-s10412,"Czas ten był dla Polski okresem krwawych, bolesnych i dramatycznych przemian, jakie nastąpiły po budzącym nadzieje dwudziestoleciu Polski niepodległej: wybuch drugiej wojny światowej, okupacja niemiecka, Powstanie Warszawskie, wkroczenie armii sowieckiej, odbudowa Warszawy i ćwierć wieku niełatwego życia w PRLu.",wybuch drugiej wojny światowej,ćwierć wieku niełatwego życia w PRLu,L,1,
dev-s1149,"Podłoże upstrzone było drobnymi odchodami, może ptaków, może nietoperzy.",może ptaków,może nietoperzy,L,1,
train-s13463,"Nie byłoby w tym nic złego (w końcu wszystko jest dla ludzi, a ksiądz to też mężczyzna) gdyby nie to, że ksiądz to jednak ksiądz i komu jak komu, ale jemu właśnie nie bardzo wypada, tak przy ludziach.",(w końcu wszystko jest dla ludzi,ksiądz to też mężczyzna,L,1,
train-s16482,W odniesieniu do Umowy między Wspólnotą Europejską a Stanami Zjednoczonymi Ameryki w sprawie środków sanitarnych mających na celu ochronę zdrowia publicznego i zdrowia zwierząt w handlu żywymi zwierzętami i produktami zwierzęcymi.,Wspólnotą Europejską,Stanami Zjednoczonymi Ameryki,L,1,
dev-s251,"Może właśnie dlatego trzymał się form raczej tradycyjnych, zrozumiałych.",tradycyjnych,zrozumiałych,L,1,
dev-s228,"Wyczuwało się napięcie, oczekiwanie.",napięcie,oczekiwanie,L,1,
train-s2117,Dlatego skończył polonistykę i dziennikarstwo.,polonistykę,dziennikarstwo,L,1,
train-s16482,W odniesieniu do Umowy między Wspólnotą Europejską a Stanami Zjednoczonymi Ameryki w sprawie środków sanitarnych mających na celu ochronę zdrowia publicznego i zdrowia zwierząt w handlu żywymi zwierzętami i produktami zwierzęcymi.,żywymi zwierzętami,produktami zwierzęcymi,L,1,
dev-s144,Chłopiec w bluzce w paski i spodniach dresowych skacze z niebieskiej zjeżdżalni.,bluzce w paski,spodniach dresowych,L,1,
train-s16583,"- Myślałem, że poczujesz tamto uczucie, tamten gniew i złość, gdy zobaczysz go ponownie.",tamto uczucie,złość,L,1,
train-s12080,"Ok. 30 osób, w tym pracownicy i pacjenci szpitali z Dusznik Zdroju i Nowej Rudy (woj. dolnośląskie), protestowało w piątek przed siedzibą Narodowego Funduszu Zdrowia we Wrocławiu.",pracownicy,pacjenci,L,1,
dev-s1341,"Wiesz, my czasem chorujemy, ba, starzejemy się, i - teraz uwaga - ponieważ nie jesteśmy nieśmiertelni (zaskoczony, co?) po zazwyczaj dość długim życiu.... umieramy!",czasem chorujemy,"- teraz uwaga - ponieważ nie jesteśmy nieśmiertelni (zaskoczony, co?) po zazwyczaj dość długim życiu.... umieramy!",L,0,
train-s5102,Chińczycy zareagowali natychmiast - zamknęli i splądrowali oszczędzany do tej pory klasztor Taszilhumpo.,zamknęli,splądrowali,L,1,
test-1308,"Teraz chciałbym odpocząć, więcej czasu poświęcić rodzinie i firmie.",rodzinie,firmie,L,1,
train-11297,"Uznano, że poszlaki były wątłe i niepewne, zwłaszcza podobieństwo papieru i sznurka.",papieru,sznurka,L,1,
test-s2160,"Naukowcy odkryli, że FMR1 (łamliwy gen chromosomu X) był aktywny w komórkach ES, ale nie w komórkach iPS.",w komórkach ES,nie w komórkach iPS,L,1,
train-s16524,Edytuj listę zmiennych środowiskowych i związanych z nimi wartości,zmiennych środowiskowych,związanych z nimi wartości,L,1,
train-s15543,Klasyfikacja wagonów jest określana zgodnie z położeniem geometrycznym i obciążeniem każdej osi.,położeniem geometrycznym,obciążeniem każdej osi,L,0,
train-s9388,"Orzechy są częstym alergenem zarówno na drodze mechanizmu IgE-zależnego, jak i innych mechanizmów.",mechanizmu IgE - zależnego,i innych mechanizmów,L,0,
train-s5580,"Wyglądało to tak, jakby ci ludzie czekali aż pociąg sobie pojedzie, ale kiedy nie ruszał, postanowili kontynuować drogę.",czekali aż pociąg sobie pojedzie,"kiedy nie ruszał, postanowili kontynuować drogę",L,1,
train-s5839,"Współczesna geografia jest skierowana na badania nie tyle trwałości i całościowości wzorów kulturowych, ile procesów, transformacji, zmienności jakim one podlegają",trwałości,całościowości,L,1,
train-s9021,"On nie uczestniczy w tych grach i rywalizacjach, ale ma instynkt państwowy.",grach,rywalizacjach,L,1,
n01038021,"— Widzimy, że wiele krajów, szczególnie te przyczyniające się od niedawna do dużej emisji, jak Brazylia, RPA, Indie i China, jest gotowych odgrywać rolę w jej ograniczaniu  — powiedział Guilbeault.",Brazylia,China,L,1,
test-s58,Kobieta w czarnej bluzce i spódnicy w kratę gra na skrzypcach razem z muzykami grającymi na innych instrumentach.,bluzce,spódnicy w kratę,L,1,
train-s2471,"Zazwyczaj młodym kobietom z zagranicy, zwabionym i przymuszanym do nierządu, sutenerzy odbierają paszporty.",zwabionym,przymuszanym do nierządu,L,1,
test-s1288,"Studenci medycyny alarmują z kolei, że w przyszłym roku będą musieli zdawać egzamin dyplomowy, a nie ma jeszcze jego kryteriów.",musieli zdawać egzamin dyplomowy,nie ma jeszcze jego kryteriów,L,0,
train-s11989,"Rwała się pieśń w zdławieniu wrażenia potężnego, w łzach, co znają tylko miłujący i mężni, i kwitła pieśń nad mogiłą, jakby proporzec biało-amarantowy, a cichy bór słuchał i dawne czasy wspominał.",w zdławieniu wrażenia potężnego,"w łzach, co znają tylko miłujący i mężni,",L,1,
test-s1773,"Powiedzmy, że sąd wydał wyrok, wyrok nam się nie podoba, w związku z tym wnosimy sprawę jeszcze raz, jeszcze raz i jeszcze raz i anulujemy to, że sprawa jest rozstrzygnięta.",jeszcze raz,jeszcze raz,L,1,
